round,chosen,val_mae,val_rmse,round_secs,cpu_percent,mem_mb,energy_j,bytes_sent_mb,kept_ratio
1,3,0.533371,0.688263,2.792,35.50,6109.70,3.830974,0.603836,1.0000
2,3,0.509184,0.664656,1.403,24.10,6031.42,1.545810,0.603836,1.0000
3,3,0.495731,0.651618,1.307,22.60,6044.44,1.396385,0.603836,1.0000
4,3,0.488061,0.644064,1.267,22.60,6030.59,1.364398,0.603836,1.0000
5,3,0.484756,0.639863,1.258,21.60,6005.03,1.313130,0.603836,1.0000
6,3,0.480720,0.636053,1.305,25.40,6205.84,1.522231,0.603836,1.0000
7,3,0.477359,0.632841,1.298,22.40,6239.59,1.380177,0.603836,1.0000
8,3,0.476638,0.631687,1.532,49.70,6180.50,3.027716,0.603836,1.0000
9,3,0.474072,0.629136,1.344,33.00,6130.06,1.914783,0.603836,1.0000
10,3,0.472889,0.627802,1.321,29.30,6072.81,1.716973,0.603836,1.0000
11,3,0.471504,0.626023,1.351,25.90,6170.20,1.587215,0.603836,1.0000
12,3,0.468242,0.624133,1.419,30.00,6206.70,1.851741,0.603836,1.0000
13,3,0.468228,0.623270,1.481,32.50,6214.41,2.046692,0.603836,1.0000
14,3,0.465869,0.621291,1.553,37.70,6180.03,2.411864,0.603836,1.0000
15,3,0.466022,0.620582,1.439,28.10,6086.73,1.777217,0.603836,1.0000
16,3,0.463834,0.618824,1.400,26.70,6057.84,1.670754,0.603836,1.0000
17,3,0.462614,0.618268,1.462,28.00,6121.67,1.795521,0.603836,1.0000
18,3,0.462511,0.618119,1.435,27.80,5993.02,1.759003,0.603836,1.0000
19,3,0.460562,0.616210,1.384,25.50,6045.28,1.597787,0.603836,1.0000
20,3,0.462618,0.616848,1.452,29.10,6103.50,1.840987,0.603836,1.0000
