round,chosen,val_mae,val_rmse,round_secs,cpu_percent,mem_mb,energy_j,bytes_sent_mb,kept_ratio
1,5,0.535345,0.690813,2.982,25.90,6312.64,3.306867,1.006393,1.0000
2,5,0.510750,0.666398,2.152,21.60,6263.12,2.230465,1.006393,1.0000
3,5,0.491856,0.648465,2.138,21.70,6278.30,2.227932,1.006393,1.0000
4,5,0.479183,0.636619,2.193,25.30,6249.80,2.545683,1.006393,1.0000
5,5,0.471152,0.628995,2.160,22.50,6257.28,2.304543,1.006393,1.0000
6,5,0.465585,0.623794,2.113,21.40,6255.06,2.186803,1.006393,1.0000
7,5,0.461632,0.620013,2.131,21.30,6255.20,2.192616,1.006393,1.0000
8,5,0.458945,0.617300,2.109,21.10,6257.53,2.161076,1.006393,1.0000
9,5,0.456804,0.615007,2.270,29.00,6305.61,2.908287,1.006393,1.0000
10,5,0.454953,0.613059,2.140,22.00,6308.78,2.251856,1.006393,1.0000
11,5,0.453511,0.611534,2.184,23.00,6298.41,2.362342,1.006393,1.0000
12,5,0.452474,0.610320,2.130,22.50,6299.75,2.281320,1.006393,1.0000
13,5,0.451641,0.609284,2.114,21.50,6300.61,2.194952,1.006393,1.0000
14,5,0.450685,0.608237,2.093,22.10,6292.72,2.223002,1.006393,1.0000
15,5,0.449643,0.607130,2.115,22.90,6292.00,2.299113,1.006393,1.0000
16,5,0.449131,0.606339,2.116,21.60,6291.75,2.203859,1.006393,1.0000
17,5,0.448746,0.605785,2.099,21.10,6296.45,2.153637,1.006393,1.0000
18,5,0.447962,0.605130,2.245,28.20,6314.22,2.820023,1.006393,1.0000
19,5,0.447458,0.604458,2.141,22.30,6270.88,2.275167,1.006393,1.0000
20,5,0.446979,0.604065,2.104,21.40,6239.80,2.179717,1.006393,1.0000
